train/critic_loss,time/time_elapsed,train/learning_rate,train/reward,time/episodes,time/total_timesteps,time/fps,train/n_updates,train/actor_loss
0.3479520215363001,57,0.001,-0.041282143,4,6040,105,4530,10.306262463449642
0.016727264888818986,132,0.001,-0.041282143,8,12080,91,10570,7.645448548904318
0.06111907179510554,206,0.001,-0.041282143,12,18120,87,16610,5.262842626761127
0.025689342647747734,281,0.001,-0.041282143,16,24160,85,22650,3.6522441505596337
0.012776225369843032,359,0.001,-0.041282143,20,30200,84,28690,2.5469261043119116
0.005762011447993866,434,0.001,-0.041282143,24,36240,83,34730,1.7250036822249557
0.007077106191477559,510,0.001,-0.041282143,28,42280,82,40770,1.172165269133271
0.010421358383667735,586,0.001,-0.041282143,32,48320,82,46810,0.8230017577970264
0.0005725908067809041,662,0.001,-0.041282143,36,54360,82,52850,0.5312936190737794
0.00029018477142390655,1278,0.001,-0.041282143,40,60400,47,58890,0.31466754132153973
0.00020621024073712183,1352,0.001,-0.041282143,44,66440,49,64930,0.1622676328021959
